"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,33,2.92531639402252,0.110781244502742,"[1.63, 4.22]",1.62835063285875,4.22091783533842,0.626673353729389,0.0388476152519035
"2","x.1.",2,32,2.18370520521147,0.158940598541966,"[0.36, 4.02]",0.356569302858067,4.02403788360825,0.884943800368829,0.0549227897119984
"3","x.1.",3,36,2.68525448724252,0.067380258089266,"[1.87, 3.51]",1.86574601352656,3.50721636738144,0.398626982661941,0.0246335789816036
"4","x.2.",1,33,2.55738764794482,0.140152527833219,"[0.92, 4.2]",0.91593191503654,4.19586299575327,0.792822422650444,0.0491472315759355
"5","x.2.",2,32,3.86897589387071,0.228650102355885,"[1.23, 6.5]",1.2287107051108,6.50468848591746,1.27306989145453,0.0790112885223811
"6","x.2.",3,36,2.7140052650563,0.0693874693732207,"[1.87, 3.56]",1.86954118143537,3.55990980178501,0.410501804759355,0.0253673962612965
"7","x.3.",1,33,2.60281884742599,0.0732040812277869,"[1.75, 3.46]",1.74735773089601,3.46052227360089,0.414104817973591,0.0256704462490108
"8","x.3.",2,32,3.1425634994415,0.107242500728869,"[1.91, 4.38]",1.90638260993414,4.38094546896578,0.597100973738969,0.0370582303687836
"9","x.3.",3,36,2.63994236719883,0.0661664531172688,"[1.83, 3.45]",1.83458542032722,3.44648591301808,0.391446015606482,0.024189823473776
