"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._shapes","x.2._shapes","x.3._shapes","x.1._scales","x.2._scales","x.3._scales","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"1","1_98_5",0,0.00488008900202662,0.128745722021573,0.199376749220884,0.0858871618125007,0.128745722021573,0.414248352384307,0.56110168333389,0.218887222731129,0.451813555623786,0.512721988605008,0.429186738434684,0.759499686942057,0.286640018107792,0.374854705315846,0.995869915486537,0.851649232227459,0,2,32,FALSE
"2","1_185_2",0,0.0386139803783027,0.125980325310236,0.198093886193607,0.0817563784192338,0.125980325310236,0.532580134025293,0.723100522971638,0.17871008026941,0.623741152622987,0.575511682965184,0.137834733352074,0.582258856676059,0.302697574324791,0.458171406813075,0.418745898652575,0.965187428047027,0.810812180446607,1,33,FALSE
"3","1_204_1",0,0.134681832997405,0.124911091958998,0.214309370017057,0.0819765265331218,0.124911091958998,0.304302889766301,0.688494935251078,0.0697573830505568,0.682436887888419,0.885628326318763,0.0998370929183325,0.707588777403651,0.773019759381329,0.729846956509816,0.633634829348629,0.771754480684521,0.942541270844061,1,33,FALSE
"4","1_212_4",0,0.00256127551483468,0.126683543580059,0.191618346671017,0.0814250504714125,0.126683543580059,0.229983988398576,0.334771771859248,0.220605273830864,0.77118330368331,0.568084211373983,0.500479222894051,0.541853296637427,0.490932985293663,0.44403591564607,0.400524138731688,0.7583529293752,0.47711716017898,2,32,FALSE
"5","1_212_5",0,0.0407055014550109,0.12526439610121,0.200013908442795,0.0816816089913256,0.12526439610121,0.295560824813475,0.688494935251078,0.0697573830505568,0.331908255060228,0.807550123053916,0.0998370929183325,0.707588777403651,0.304481950294488,0.729846956509816,0.631235292469102,0.844479887662558,0.942541270844061,1,33,FALSE
"6","1_213_3",0,0.309450081504335,0.123645455316477,0.227035160589833,0.081315688641084,0.123645455316477,0.26030649215447,0.346040577785778,0.113327235862382,0.00449027046903038,0.361806334133472,0.217404989378167,0.626990869846859,0,0.477079854654023,0.779385226330197,1,0.922763081270408,2,32,FALSE
"7","1_217_5",0,0.317484616566004,0.123749981492791,0.205691373445282,0.0798370641514475,0.123749981492791,0.26030649215447,0.346040577785778,0.147443132648986,0.00449027046903038,0.361806334133472,0.49186959189314,0.626990869846859,0,0.477079854654023,0.779385226330197,1,0.574325795636682,2,32,FALSE
"8","1_217_6",0,0.00518354508694905,0.12650433297506,0.213783747719534,0.0811086019685332,0.12650433297506,0.529157770663882,0.72019446967256,0.270210601700092,0.616638235635533,0.460746624049882,0.176320667382045,0.573169971573301,0.198195540818275,0.742867664964816,0.45395016639344,0.980321831465887,0.710713346978247,1,33,TRUE
"9","1_221_2",0,0.148767582842141,0.124865209522851,0.234054054566523,0.0825324638865124,0.124865209522851,0.304302889766301,0.688494935251078,0.0697573830505568,0.682436887888419,0.807550123053916,0.0998370929183325,0.707588777403651,0.653811792770017,0.729846956509816,0.633634829348629,0.846162891655233,0.942541270844061,1,33,FALSE
"10","1_221_7",0,0.306830858043142,0.123561950631929,0.217130205346659,0.0813726825266625,0.123561950631929,0.26030649215447,0.312595163907189,0.113327235862382,0.00449027046903038,0.525188023458984,0.217404989378167,0.626990869846859,0,0.477079854654023,0.779385226330197,1,0.922763081270408,2,32,FALSE
"11","1_226_2",0,0.295612680540704,0.123645888208734,0.219591921335947,0.0811308576220472,0.123645888208734,0.26030649215447,0.312595163907189,0.103057504957684,0.00449027046903038,0.525188023458984,0.213674535232509,0.626990869846859,0,0.704836861268733,0.779385226330197,1,0.848409800429566,2,32,FALSE
"12","1_227_6",0,0.0926043736920432,0.124882834093012,0.220131194760887,0.0803594451539889,0.124882834093012,0.293616758945214,0.725845814518588,0,0.404848724026394,0.725810960000109,0.0977114133202334,0.694916147077497,0.279145757015697,0.683541620669272,0.636478435006903,0.916334914498739,0.941250983586452,1,33,FALSE
"13","1_234_1",0,0.12619480974005,0.125110062417185,0.20803338166242,0.0806394424259277,0.125110062417185,0.2987079682221,0.688494935251078,0.0697573830505568,0.458098562920066,0.757580072964414,0.0998370929183325,0.707588777403651,0.353947595028156,0.729846956509816,0.633634829348629,0.892707152269171,0.942541270844061,1,33,FALSE
"14","1_234_6",0,0.305504262322376,0.123564632190157,0.217413029572733,0.0813636251055585,0.123564632190157,0.26030649215447,0.312595163907189,0.113327235862382,0.00449027046903038,0.525188023458984,0.217404989378167,0.626990869846859,0,0.487496421488011,0.779385226330197,1,0.922763081270408,2,32,FALSE
"15","1_235_4",0,0.117318273359271,0.125002085411027,0.228765424163756,0.0810454448335571,0.125002085411027,0.153623837854304,0.690774622346345,0.0431962361862199,0.733952766974895,0.697711943516217,0.0539235906473809,0.720545317474157,0.526986209631112,0.694492312540057,0.650945651341747,0.737881449907908,0.87062794130996,1,33,FALSE
"16","1_242_5",0,0.149189037799854,0.12481916164201,0.228347179319002,0.0820003008662152,0.12481916164201,0.304302889766301,0.718375638595045,0.0697573830505568,0.682436887888419,0.792128842755807,0.0998370929183325,0.707588777403651,0.653811792770017,0.729846956509816,0.633634829348629,0.855756249238207,0.942541270844061,1,33,FALSE
"17","1_250_3",0,0.130695642101883,0.124974947385376,0.216120210237327,0.080837720326285,0.124974947385376,0.292487890673338,0.722377620044839,0.069640144018884,0.426615266482072,0.726577374970716,0.0704131407528562,0.631355041748796,0.295931104622579,0.673947994566954,0.682620060571409,0.913771118353549,0.932038004326839,1,33,FALSE
"18","1_250_7",0,0.0199434751148138,0.125953484132254,0.213030987690692,0.0806998755343109,0.125953484132254,0.344534379794387,0.700707171196029,0.108390024777543,0.416700021904999,0.888112595607463,0.132040648196789,0.62202902111317,0.333600092478989,0.936624240779905,0.491794511807502,0.607199371363421,0.867973644770725,1,33,FALSE
"19","1_252_5",0,0.1163905040332,0.125049522890712,0.229438525509937,0.081057292514191,0.125049522890712,0.153623837854304,0.690774622346345,0.0431962361862199,0.733952766974895,0.495242829316724,0.0539235906473809,0.720545317474157,0.526986209631112,0.694492312540057,0.650945651341747,0.903499406271007,0.87062794130996,1,33,FALSE
"20","1_254_7",0,0.279738410442903,0.124710735884108,0.196807745705473,0.0814249722173157,0.124710735884108,0.310853975114862,1,0.0617636861244345,0.572135288698896,0.754868870367241,0,0.628926835279551,0.387653588828977,0.991158664091522,0.713892903374498,0.98896500841737,0.94332476076875,1,33,FALSE
"21","1_256_2",0,0.297235732952762,0.123619306382597,0.21942158977138,0.081188781237422,0.123619306382597,0.26030649215447,0.312595163907189,0.105111451198738,0.00449027046903038,0.525188023458984,0.214420626006276,0.626990869846859,0,0.650952206548589,0.779385226330197,1,0.863280456623612,2,32,FALSE
"22","1_257_5",0,0.100184231159144,0.125211530023917,0.210289460684732,0.0809978515732995,0.125211530023917,0.275698587400267,0.643861890762792,0.0744862790773335,0.548544620770764,0.668571728366791,0.122228364677656,0.697930125069586,0.533546650838038,0.687052613971881,0.670596162032125,0.867683320294716,0.906699324172621,1,33,FALSE
"23","1_261_6",0,0.247662493190388,0.124609200352547,0.22188431292522,0.0839862022794244,0.124609200352547,0.116179668253739,0.359501584790876,0.160500021496348,0.117819329456722,0.257542523391003,0.118348985725728,0.736459718251496,0.343283003026385,0.816096356782659,0.900280606086845,0.957176771055303,0.94731145454203,1,33,FALSE
"24","1_264_6",0,0.304283983488337,0.123623065646728,0.217028822756725,0.0814014117191366,0.123623065646728,0.26030649215447,0.312595163907189,0.113327235862382,0.00449027046903038,0.525188023458984,0.217404989378167,0.601937529794928,0,0.477079854654023,0.779385226330197,1,0.922763081270408,2,32,FALSE
"25","1_268_6",0,0.252733291704351,0.124116838043012,0.221014476285594,0.0816877092846027,0.124116838043012,0.186508870226061,0.314537227333922,0.1739989648379,0.0115198534251697,0.701933268754298,0.171574548023064,0.263794926705393,0.00818038347187168,0.64631760456792,0.826044417950696,0.68892830659096,0.901738715536774,2,32,FALSE
