"","x.1._alphas","x.1._gammas","x.1._scales","x.1._shapes","x.2._alphas","x.2._gammas","x.2._scales","x.2._shapes","x.3._alphas","x.3._gammas","x.3._scales","x.3._shapes","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"27",4.120067652562,0.485963895838,0.543625423475,2.3259216538,2.144942616274,0.779305331125,0.851980956643,2.8933075376,7.206836132742,0.0839612024474,0.812311664378,2.3435039596,0.74641148325,0.798943212704361,0.770506318221587,0.548009301422678,0.0848725261204668,0.122107990480304,0.167775480263923,0.122107990480304,0.0256653986724275,0,946.376375029794,0.001219870501,717088.418760455,1e-04,0,0.0891740322113037,139.430602073669,"3_193_5",3,193,5,1349,FALSE,TRUE,4,0.0108161532519767,4,FALSE
"28",3.629116660351,0.498144752856,0.536140508879,2.4087244606,1.927637335063,0.796042446311,0.867277406757,2.867723954,7.021011673032,0.120250947944,0.754979560184,2.1069076902,0.74641148325,0.799411490011043,0.770446497924869,0.510680857486757,0.0847736310591943,0.122123903903766,0.17456607405412,0.122123903903766,0.0215371223890938,0,865.622899384597,0.001107246242,717088.418760455,1e-04,0,0.0899269580841064,140.158791065216,"3_194_5",3,194,5,1356,FALSE,TRUE,2,0.0112715403075395,4,FALSE
"29",3.629116660351,0.498144752856,0.536140508879,2.4087244606,1.927637335063,0.796042446311,0.867277406757,2.8874809444,7.021011673032,0.120250947944,0.754979560184,2.1069076902,0.74641148325,0.79941389702349,0.770446068842736,0.513751072971452,0.0847731224263784,0.122124018040907,0.174017557990405,0.122124018040907,0.0221554445037428,0,865.622899384597,0.001107246242,717088.418760455,1e-04,0,0.0888979434967041,146.261069059372,"3_203_2",3,203,2,1416,FALSE,TRUE,4,0.0112537516383097,4,FALSE
"30",4.715386070175,0.502480004622,0.535461304578,2.3513147318,1.958784775,0.798194687031,0.872816687458,2.9094265618,7.066888042188,0.0656588469848,0.793308970443,2.495201576,0.74641148325,0.794683902302714,0.77071537068346,0.569393139332022,0.08576681052116,0.122052361951031,0.163758636771726,0.122052361951031,0.0260370303325541,0,1320.40157675383,0.001741511345,717088.418760455,1e-04,0,0.0871641635894775,147.490910053253,"3_204_7",3,204,7,1428,FALSE,TRUE,3,0.0103789841903224,4,FALSE
"31",3.494214669383,0.181077835519,0.625623682047,2.6413365434,3.905448194084,0.739771214018,0.648981726618,2.316199055,6.518975568513,0.703344452612,0.301007530081,1.921798526,0.74641148325,0.797441237674762,0.762382571011344,0.271986003788446,0.0851889522077285,0.124250419504668,0.212928407620069,0.124250419504668,0.010587512933449,0,1317.5644542043,0.001737554502,717088.418760455,1e-04,0,0.0897178649902344,150.132129192352,"3_208_5",3,208,5,1454,FALSE,TRUE,5,0.0157686848710756,2,FALSE
"32",4.014537758129,0.497416961942,0.550657139124,2.3374562706,2.277605707975,0.811272376757,0.873902014512,2.5555873304,6.566693505906,0.236633971502,0.434796654947,2.3584599036,0.74641148325,0.797660948862826,0.770645334539024,0.550945513025219,0.0851427383488143,0.122071001282006,0.167229642743123,0.122071001282006,0.0218613619932368,0,977.137419370247,0.001262771934,717088.418760455,1e-04,0,0.0984148979187012,150.752247095108,"3_209_4",3,209,4,1460,FALSE,TRUE,3,0.0103834556276497,4,FALSE
"33",4.014537758129,0.497416961942,0.550657139124,2.3374562706,2.277605707975,0.811272376757,0.873902014512,2.5640911054,6.943012093834,0.242099342865,0.449412254527,2.563327735,0.74641148325,0.800266472439239,0.769919168528702,0.547930511955267,0.0845927698421702,0.122264094712788,0.167790102649689,0.122264094712788,0.0278643601287603,0,809.817691050346,0.001029416524,717088.418760455,1e-04,0,0.0900001525878906,153.783793210983,"3_213_6",3,213,6,1490,FALSE,TRUE,5,0.0110516209997211,4,FALSE
"34",3.834483004004,0.516419004041,0.523985330586,2.2921844174,2.32317668773,0.805556578885,0.864595317442,2.469530436,6.201486131852,0.265996445484,0.438375918107,2.3444203896,0.74641148325,0.80055328196238,0.770286659057339,0.525096039071445,0.0845320120706537,0.122166414145428,0.171975522561696,0.122166414145428,0.0132608585980069,0,793.169650760385,0.001006198041,717088.418760455,1e-04,0,0.0906600952148438,155.506917238235,"3_216_2",3,216,2,1507,FALSE,TRUE,1,0.0103868986453582,4,FALSE
"35",4.699169713092,0.4876936872,0.532630543967,2.3523652912,1.97595888443,0.767096856606,0.872816687458,2.9094265618,7.066888042188,0.0656588469848,0.793308970443,2.5049663782,0.74641148325,0.795623408553519,0.770826238486562,0.554117259677645,0.0855703552826818,0.122022849913005,0.166638010779792,0.122022849913005,0.033138975582327,0,1266.98963396411,0.001667019437,717088.418760455,1e-04,0,0.0995550155639648,156.637145042419,"3_217_6",3,217,6,1518,FALSE,TRUE,4,0.0115455174647357,4,FALSE
"36",4.135247792578,0.4876936872,0.544221059535,2.341488634,2.234450452696,0.771339442373,0.846806372221,2.8845682504,7.224378318843,0.0888781074478,0.787345113907,2.3975260006,0.74641148325,0.799104873799835,0.770220368671767,0.556432317388544,0.0848383980890904,0.122184040188583,0.166204849068707,0.122184040188583,0.0051856883653822,0,981.695919069091,0.001269129526,717088.418760455,1e-04,0,0.0871670246124268,159.725096225739,"3_222_1",3,222,1,1548,FALSE,TRUE,1,0.00934108994018432,4,FALSE
