"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._shapes","x.2._shapes","x.3._shapes","x.1._scales","x.2._scales","x.3._scales","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"1","1_331_1",0,0.000831401189461607,0.177759464630372,0.331235969912704,0.112069898529609,0.177759464630372,0.788212982172391,0.845164120615797,0.719017564399778,0.10339582533868,0.680839062553891,0.842812983282783,0.700174343490693,0.74904751714524,0.562710442526493,0.685560434543057,0.453948359333949,0.858680682932129,4,30,TRUE
"2","1_498_3",0,0.159875923362841,0.123792830626056,0.194444089773823,0.0828909175398704,0.123792830626056,0.269296416209186,0.599967776474364,0.656571949133655,0.00835232967340428,0.961932759720743,0.762118171447639,0.709585501873277,0.883380747403074,0.598930234282886,0.711317007607837,0.100097363172574,0.958452584868789,4,30,FALSE
"3","1_506_7",0,0.16344889327089,0.12377202306543,0.194738889085813,0.0829492727081176,0.12377202306543,0.287726563217152,0.599967776474364,0.656571949133655,0.00835232967340428,0.961932759720743,0.762118171447639,0.709585501873277,0.883380747403074,0.598930234282886,0.711317007607837,0.100097363172574,0.958452584868789,4,30,FALSE
"4","1_615_3",0,0.211841835712311,0.123430190292967,0.19317206636381,0.0829493199669783,0.123430190292967,0.525203835116238,0.611203332966597,0.621015580588067,0.00712055770440347,0.833397247814897,0.759139680601243,0.830163389228599,0.845767456717897,0.614139411306129,0.716331501188354,0.163341079748675,0.929033451121304,4,30,FALSE
"5","1_624_2",0,0.210922260656477,0.123146238916854,0.203993747075386,0.0819795202491885,0.123146238916854,0.459051769995723,0.546597021935043,0.60111605780476,0.00549703257013917,0.9257039174974,0.697110343873657,0.801096325379597,0.985138646360127,0.579745189921656,0.758042366847978,0.155270517788059,0.920581856563274,4,30,FALSE
"6","1_628_4",0,0.221862856680688,0.123100359795018,0.20295710149699,0.0804592825410543,0.123100359795018,0.459051769995723,0.546597021935043,0.60111605780476,0,0.9257039174974,0.697110343873657,0.97568370194877,0.985138646360127,0.579745189921656,0.701316879640889,0.155270517788059,0.920581856563274,4,30,FALSE
"7","1_632_6",0,0.19062341797354,0.123295287086539,0.197785534729413,0.081690680045154,0.123295287086539,0.350255837541777,0.521481058094477,0.60111605780476,0.00549703257013917,0.922118874780036,0.697110343873657,0.801096325379597,0.998530292933375,0.577669866971264,0.758042366847978,0.166123818503939,0.975464388573789,4,30,FALSE
"8","1_641_3",0,0.213195442572939,0.122924383755627,0.19730545206161,0.0813001284372272,0.122924383755627,0.350255837541777,0.521481058094477,0.607373747256885,0.00549703257013917,0.922118874780036,0.697110343873657,0.971195368850984,0.998530292933375,0.577669866971264,0.76131143415872,0.166123818503939,0.975464388573789,4,30,FALSE
"9","1_645_5",0,0.193121284629617,0.123280573900137,0.197798590591137,0.0818365892748725,0.123280573900137,0.381352599726302,0.521481058094477,0.60111605780476,0.00155349554089423,0.922118874780036,0.697110343873657,0.801096325379597,0.998530292933375,0.577669866971264,0.750649954591611,0.166123818503939,0.975464388573789,4,30,FALSE
"10","1_666_2",0,0.205110639975011,0.122991587849337,0.199457887189415,0.0817976934356361,0.122991587849337,0.326821143544561,0.529626115456037,0.657797385964841,0.00429912718487211,0.929039443217174,0.765899586341757,0.892974775153468,0.975068286903947,0.573100320549496,0.726240032943843,0.127351397647288,0.957080631786316,4,30,FALSE
"11","1_667_1",0,0.19992683892874,0.123350850718133,0.200806989153865,0.0817153440004786,0.123350850718133,0.350255837541777,0.566030223664589,0.60111605780476,0.00549703257013917,0.922118874780036,0.697110343873657,0.801096325379597,0.998530292933375,0.577567096033287,0.758042366847978,0.166123818503939,0.897708616732406,4,30,FALSE
"12","1_670_4",0,0.198517020051996,0.123202730968327,0.209625630248914,0.0817473444651349,0.123202730968327,0.326821143544561,0.55537772267341,0.657797385964841,0.00429912718487211,0.982361893060382,0.702415096019378,0.892974775153468,0.975068286903947,0.555428561155427,0.726240032943843,0.127351397647288,0.909318947509037,4,30,FALSE
"13","1_671_3",0,0.176784052102109,0.123520843891783,0.198982155155695,0.0829493831247504,0.123520843891783,0.350255837541777,0.521481058094477,0.60111605780476,0.0104091459700458,0.922118874780036,0.697110343873657,0.78137237771155,0.998530292933375,0.577669866971264,0.758882373923961,0.166123818503939,0.975464388573789,4,30,FALSE
"14","1_673_2",0,0.187521353484655,0.123473307061946,0.198738488436395,0.0824453805791055,0.123473307061946,0.330437795064285,0.570283755175125,0.66196131676219,0.00542727654229804,0.935605259846321,0.726921889156057,0.815653027960924,0.978032958374356,0.545757833001421,0.741855557167887,0.161326529693034,0.918921757640907,4,30,FALSE
"15","1_675_5",0,0.22211129417399,0.122909009576629,0.206322183785231,0.0808946328238993,0.122909009576629,0.350255837541777,0.521481058094477,0.611576831953587,0.00549703257013917,0.922118874780036,0.668973443978793,0.928334526112423,0.998530292933375,0.592082312791897,0.758042366847978,0.166123818503939,0.900558480686881,4,30,FALSE
"16","1_680_7",0,0.150527584857071,0.123819543195652,0.200047545450652,0.0830666648769415,0.123819543195652,0.268392554602483,0.540279051330604,0.6617793525302,0.00875626904036528,0.96802721185995,0.784994765169619,0.74373795338071,0.981157834557084,0.55562831011689,0.733861574939135,0.132946017814401,0.851866618471339,4,30,FALSE
"17","1_686_1",0,0.187675257215968,0.123469942406369,0.198667090313633,0.0824475352103913,0.123469942406369,0.330437795064285,0.570283755175125,0.66196131676219,0.00542727654229804,0.935605259846321,0.726921889156057,0.815653027960924,0.99475600684907,0.545757833001421,0.741855557167887,0.161326529693034,0.918921757640907,4,30,FALSE
"18","1_688_4",0,0.219364649099708,0.122853954315534,0.210188680393492,0.0807907982694284,0.122853954315534,0.350255837541777,0.521481058094477,0.611576831953587,0.00549703257013917,0.922118874780036,0.668973443978793,0.928334526112423,0.998530292933375,0.592082312791897,0.758042366847978,0.152012299022336,0.900558480686881,4,30,FALSE
"19","1_692_6",0,0.207008992465549,0.12291855708127,0.199451510541523,0.0817144494740806,0.12291855708127,0.350255837541777,0.546153632620097,0.638098208482838,0.00549703257013917,0.957231761469175,0.716098394821541,0.928334526112423,0.998530292933375,0.579602027259195,0.758042366847978,0.146932842732479,0.961523610655517,4,30,FALSE
"20","1_695_5",0,0.205998607746118,0.123508936207837,0.207345366220376,0.0826099573311945,0.123508936207837,0.490276071425841,0.497606995888997,0.602144712504975,0.00726647680322444,0.897706974168862,0.731818129616083,0.72404322648791,0.955588870949996,0.559693780014488,0.731026959968426,0.152017097292467,0.96096060946202,4,30,FALSE
"21","1_695_7",0,0.197902050537881,0.123528069944694,0.191371948033852,0.0832359996839126,0.123528069944694,0.307940876729646,0.550538524548929,0.62201749489344,0.0101741280868358,0.908095589396171,0.859741662900538,0.853456046211526,0.982232086041733,0.577315105096964,0.723875405372021,0.129425287760419,0.84373995269853,4,30,FALSE
"22","1_698_7",0,0.184910677790619,0.123411811428323,0.190551085015472,0.0825068174917802,0.123411811428323,0.330437795064285,0.549682469478908,0.66196131676219,0.00542727654229804,0.892947299912383,0.777709481302627,0.815653027960924,0.99475600684907,0.559895240420216,0.741855557167887,0.161326529693034,0.957131105026679,4,30,FALSE
"23","1_701_3",0,0.212797532010052,0.122834614981813,0.206032539797964,0.080844989353433,0.122834614981813,0.350255837541777,0.521481058094477,0.573956620428391,0.00549703257013917,0.922118874780036,0.677541271049486,0.928334526112423,0.998530292933375,0.592082312791897,0.758042366847978,0.152012299022336,0.92544932110166,4,30,FALSE
"24","1_704_4",0,0.172903322957,0.123692862342867,0.190164464490091,0.0835701893003171,0.123692862342867,0.307940876729646,0.579571476863645,0.658698708031387,0.0101741280868358,0.975353737054139,0.843232608873922,0.853456046211526,0.963908242787909,0.589049831297094,0.723875405372021,0.12884869727439,0.818631301778907,4,30,FALSE
