"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,19,1.35367434002393,0.0183817455504856,"[1.19, 1.52]",1.18566330476806,1.5223325794823,0.0779871415727641,0.00497619755413901
"2","x.1.",2,85,1.44809850094838,0.0189534535906835,"[1.1, 1.8]",1.10149674252491,1.79648483063409,0.17371127152028,0.0105294003146437
"3","x.1.",3,15,0.60422760497074,0.0831427241059337,"[0, 1.3]",0,1.30124122574136,0.311091587807475,0.0194285293066294
"4","x.2.",1,19,0.0485016522562068,0.00804073165484012,"[0, 0.12]",0,0.12202256773568,0.0341139352730327,0.00192172159880551
"5","x.2.",2,85,0.643495628627001,0.0576995706056369,"[0, 1.7]",0,1.70116762146757,0.52882529973356,0.027866850716512
"6","x.2.",3,15,0.59201154135867,0.0854465370204367,"[0, 1.31]",0,1.30786241162665,0.31971166641677,0.0196695529743454
"7","x.3.",1,19,0.335290268444648,0.0100091217731863,"[0.24, 0.43]",0.243397400014492,0.426718606297649,0.0424651072772517,0.00270961031149152
"8","x.3.",2,85,1.57666207240947,0.0275152754931784,"[1.07, 2.08]",1.07310481886326,2.08203908075424,0.252181665430107,0.015285834270214
"9","x.3.",3,15,0.599087389190405,0.0823438925518141,"[0, 1.29]",0,1.2891658361484,0.308102633822215,0.0192461727655842
