"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._thetas","x.2._thetas","x.3._thetas","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"1","1_115_4",0,0.00905922814285052,0.197853793000118,0.407472474529787,0.10470028946605,0.197853793000118,0.247796863642185,0.777828803042996,0.432158826990584,0.503201380545712,0.562835866832437,0.24255192591792,0.284472954528256,0.841034891747567,0.733860256188834,3,15,FALSE
"2","1_134_1",0,0.0336281654112318,0.160292559883081,0.326663318648065,0.0928701795688843,0.160292559883081,0.013334485111275,0.851634462073311,0.628861393781717,0.471090876085322,0.541645942939845,0.258933289723234,0.216434767571132,0.631359165255805,0.804659837003607,3,15,FALSE
"3","1_216_5",0,0.564153996055873,0.121305532288874,0.164971606503446,0.0799223623792744,0.121305532288874,0.0159549920475846,0.426473323669781,0.75710945653116,0.918285464043903,0.28956154665336,0.980734751876884,0.0611531752741177,0.958711156440604,0.843882036929834,1,19,FALSE
"4","1_225_2",0,0.499588615582117,0.121342285729393,0.167566806906516,0.0796398766484558,0.121342285729393,0.0159549920475846,0.399028101156286,0.916511898294689,0.918285464043903,0.47734616302239,0.979361329815863,0.0611531752741177,0.951641186286218,0.915018871528441,1,19,FALSE
"5","1_229_4",0,0.576328147987382,0.121510707640206,0.167309174682631,0.0801810301750602,0.121510707640206,0.0159549920475846,0.426473323669781,0.653760196121609,0.805558335309627,0.28956154665336,0.981617260131899,0.0611531752741177,0.958711156440604,0.805187328546579,1,19,FALSE
"6","1_230_5",0,0.659680199699466,0.121528575636263,0.167853866092245,0.0803094396316636,0.121528575636263,0.169966322648444,0.488689334484124,0.85248315076679,0.930060528391613,0.10161028720157,0.957642544408448,0.123840028995385,0.982507839830144,0.861153601326047,1,19,FALSE
"7","1_232_5",0,0.0251039293923854,0.389781628415244,0.749696475467598,0.166710230307918,0.389781628415244,0.314643227919352,0.571824823915255,0,0.498290313414734,0.385541404665817,0.429559663574752,0.362260388012584,0.379219442851429,0.224838625152184,3,15,FALSE
"8","1_243_1",0,0.472534883225949,0.121638491391235,0.165105298894873,0.0794013819272576,0.121638491391235,0.0778625987562656,0.574485041693433,0.977589842376681,0.976621611379286,0.798603538453442,0.991178679301619,0.097642241151501,0.920108016508932,1,1,19,TRUE
"9","1_263_6",0,0.520895259806705,0.12126581729357,0.169111431931736,0.0799021349058127,0.12126581729357,0.0159549920475846,0.426473323669781,0.889071561450804,0.918285464043903,0.28956154665336,0.980734751876884,0.0611531752741177,0.958711156440604,0.894215512334844,1,19,FALSE
"10","1_268_4",0,0.495849466721515,0.121478810362577,0.167391501087624,0.0799303650373336,0.121478810362577,0.0591856123356205,0.615362215358186,0.895095848904533,0.983720206101507,0.468177151429403,0.939727083771516,0.0723345897011387,0.903043821270383,0.949983612716542,1,19,FALSE
