"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,6,1.04474180150784,0.0281994884599623,"[0.87, 1.22]",0.866334414281345,1.22145699288198,0.0630559731271966,0.00486095479651549
"2","x.1.",2,82,0.824776411165383,0.0053593939506594,"[0.73, 0.92]",0.728277883975719,0.921402315461295,0.0482345455559346,0.00292518709694389
"3","x.1.",3,8,0.817766835028195,0.0529765396746765,"[0.46, 1.17]",0.46400006765078,1.172631996028,0.140162749299941,0.00998946895936462
"4","x.2.",1,6,3.32508653876718,0.783085409395161,"[0, 8.28]",0,8.28191836262515,1.75103220759583,0.119030129068857
"5","x.2.",2,82,0.785887981830767,0.0073070990119798,"[0.65, 0.92]",0.654295244329364,0.917604744524585,0.0657638911078182,0.00398825537788744
"6","x.2.",3,8,0.823565433449234,0.0552454252495692,"[0.45, 1.19]",0.454634964639482,1.193616265967,0.146165656284369,0.0104172991302652
"7","x.3.",1,6,4.5439666184741,0.249053400400434,"[2.98, 6.12]",2.98127483211262,6.11766100752262,0.556900333322844,0.0429311802227848
"8","x.3.",2,82,0.71816422733187,0.00582438314497416,"[0.61, 0.82]",0.613410577556046,0.823290779307013,0.0524194483047675,0.00317898079152022
"9","x.3.",3,8,0.819709388011685,0.0536459771437955,"[0.46, 1.18]",0.461458529484931,1.17904507754065,0.141933914361538,0.0101157007755434
