"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._thetas","x.2._thetas","x.3._thetas","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"1","1_371_7",0,0.358584862303374,0.111809122697609,0.139360778080112,0.0823697403588119,0.111809122697609,0.858624597075081,0.290107543294423,0.015157109379227,0.929481392703487,0.0474841640364782,0.0072530149965515,0.778513333305956,1,0.898285927561619,1,6,FALSE
"2","1_382_4",0,0.446051306134479,0.112212783817964,0.144954555308584,0.0806586274431525,0.112212783817964,0.73756722499872,0.142734063853197,0.0768554199084153,0.930319526356006,0.19465428116492,0.0111031233107342,0.793059874100468,0.749757074711566,0.835207287752996,1,6,FALSE
"3","1_384_6",0,0.378275727438394,0.112268295796784,0.138838894984709,0.0829878056929819,0.112268295796784,0.953200525450572,0.148271534959509,0.0162200302637179,0.965243711818896,0,0.00175013118046254,0.809683049724119,0.685191293164552,0.849346504495681,1,6,FALSE
"4","1_420_6",0,0.274276109561776,0.112269788348356,0.139519008190382,0.0813492007393204,0.112269788348356,0.723214705363605,0.12871870759681,0.0223682448549859,0.860804709379451,0.0389601579583786,0.0170428228233186,0.718277244517358,0.706868526793991,1,1,6,TRUE
"5","1_425_2",0,0.359379292561256,0.111481862925026,0.1377234402098,0.0819747799292874,0.111481862925026,0.833053501647497,0.37522037673051,0.00554696785112125,0.92277686690593,0.0218087201933175,0,0.811169457340064,0.977419820481032,0.921126804743911,1,6,FALSE
"6","1_429_5",0,0.29544516774095,0.112218758335977,0.140159022066034,0.0819308683155651,0.112218758335977,0.86284765871717,0,0.00634949041447785,0.910413105627618,0.0406680192518971,0.0171040590817545,0.808770439297322,0.61895369053311,0.972964176676628,1,6,FALSE
"7","2_272_2",0,0.00270237516803136,0.116192714750754,0.141836424824002,0.0818979080672947,0.116192714750754,0.885853844078311,0.139674970974032,0.786334419676886,0.71954755966027,0.295482443312918,0.440855591545276,0.807238885194978,0.502084284181483,0.552200585440866,3,8,FALSE
"8","2_411_2",0,0.00860135214889522,0.113669013362976,0.141822057469552,0.0802601977973785,0.113669013362976,0.67812922762737,0.724164425538716,0.0379672891331476,0.913127325929018,0.234813754692501,0.800272305201308,0.972274179161067,0.721854852499053,0.0379040505917552,2,82,FALSE
"9","3_220_1",0,0.00329286783576869,0.116852302610362,0.153639846526169,0.0823403636207655,0.116852302610362,0.82171080691653,0.350747749494765,0.582082282277819,0,0.140182154977029,0.380454755667403,0.867669196010324,0.447546695313986,0.157806198469327,3,8,FALSE
"10","3_300_6",0,0.00409411597404545,0.114608483183853,0.15109766923814,0.0806170633975036,0.114608483183853,0.729810414051118,0.379200950068076,0.0888524873053063,0.599694133253559,0.27386218363258,0.483869381018359,0.911217828046338,0.387634689655558,0.043545361082499,3,8,FALSE
"11","3_313_5",0,0.00335513439600363,0.114640906835703,0.150114721175449,0.0805580952804911,0.114640906835703,0.729810414051118,0.379200950068076,0.092376168989199,0.588906772216622,0.27386218363258,0.483869381018359,0.911217828046338,0.387634689655558,0.0412435697262274,3,8,FALSE
