"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","x.1.",1,12,0.70644902260955,0.0109568149637711,"[0.62, 0.79]",0.623393727214046,0.790472801558149,0.0363396441321804,0.00242180164250973
"2","x.1.",2,26,1.17997719450777,0.0191827312268533,"[0.98, 1.38]",0.979735905024937,1.38263569173521,0.0959136561342663,0.00600734443412937
"3","x.1.",3,35,0.852536393405288,0.00933863747430369,"[0.74, 0.96]",0.740427101078206,0.96498249585355,0.0544531458760644,0.00336829986391387
"4","x.1.",4,13,0.823850302871387,0.0215744965685638,"[0.65, 0.99]",0.654695046796733,0.993665829479579,0.0747362484089459,0.00493377050000745
"5","x.1.",5,8,0.768615181100612,0.0256606920501269,"[0.6, 0.94]",0.596217991906982,0.939463998585435,0.067891809634448,0.00483868309037726
"6","x.1.",6,10,0.781126313943555,0.0244774132650545,"[0.6, 0.95]",0.604235058358151,0.954436790747245,0.0734322397951636,0.00502087082807497
"7","x.1.",7,11,0.686672458629842,0.00871432213780387,"[0.62, 0.75]",0.622490178058291,0.75128612602606,0.0275571062198879,0.001857678387955
"8","x.2.",1,12,0.708751071818951,0.0156048885068554,"[0.59, 0.83]",0.590343053790964,0.828300008945289,0.0517555600725688,0.00344917247777235
"9","x.2.",2,26,0.268442250885226,0.115489867907852,"[0, 1.48]",0,1.48329944808192,0.577449339539262,0.0266484659309135
"10","x.2.",3,35,0.781697703504217,0.0250219329916797,"[0.48, 1.08]",0.480973208563792,1.0826466385957,0.145901687590527,0.00902501823447438
"11","x.2.",4,13,0.331912429675555,0.0173542756424348,"[0.2, 0.47]",0.195685818148043,0.468349997296561,0.0601169742825043,0.00396866795670229
"12","x.2.",5,8,0.521164940763401,0.0466470777087866,"[0.21, 0.83]",0.209609154466118,0.833576080825038,0.123416567005354,0.00879596020575382
"13","x.2.",6,10,0.443762765459594,0.0379123927378671,"[0.17, 0.72]",0.17336943962705,0.715787278965156,0.113737178213601,0.00777668884611424
"14","x.2.",7,11,0.710035583894985,0.011674338731069,"[0.62, 0.8]",0.623879410390732,0.796423814876542,0.036917500566498,0.00248868086483642
"15","x.3.",1,12,0.716362652746097,0.0106953704790224,"[0.64, 0.8]",0.635136722453779,0.798229063185183,0.0354725308727611,0.00236401416643359
"16","x.3.",2,26,2.64007421276954,0.142636489735987,"[1.14, 4.14]",1.14499835574251,4.14082885621283,0.713182448679934,0.0446686403821231
"17","x.3.",3,35,0.729374594746434,0.00878072068757942,"[0.62, 0.84]",0.623992214702831,0.835132030959425,0.0511999599313486,0.003167068041609
"18","x.3.",4,13,0.634599210365437,0.0088676524755377,"[0.57, 0.71]",0.565794269578333,0.705119657340675,0.0307184492629904,0.00202790188170024
"19","x.3.",5,8,0.677997358282999,0.0180550609376928,"[0.56, 0.8]",0.556396732577769,0.797907271541138,0.0477692011472519,0.00340453476018053
"20","x.3.",6,10,0.676321473436098,0.00842209549468703,"[0.62, 0.74]",0.615760204805732,0.736256288303108,0.0252662864840611,0.00172756218652018
"21","x.3.",7,11,0.706562836610924,0.00716178336175563,"[0.65, 0.76]",0.653499909719672,0.759349643368556,0.0226475475318454,0.00152671544154116
