"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","nrmse_val","x.1._thetas","x.2._thetas","x.3._thetas","x.1._alphas","x.2._alphas","x.3._alphas","x.1._gammas","x.2._gammas","x.3._gammas","cluster","n","top_sol"
"1","1_376_5",0,0.0106480637984386,0.124767444695663,0.202057828954644,0.0827192475976651,0.124767444695663,0.147515432552314,0.925559546134309,0.0968084861203087,0.596836495782232,0.641040562877499,0.727984919633135,0.274127731714688,0.560761420478138,0.0434808889147627,1,6,FALSE
"2","1_379_7",0,0.00841433894428572,0.124444839321221,0.20158021302263,0.0830356023305403,0.124444839321221,0.188262538148509,0.910003762742107,0.0499710199106951,0.704104952141253,0.62435343548691,0.608754907280354,0.32388669191209,0.545512261821284,0.0266832266851396,1,6,FALSE
"3","1_384_2",0,0.00269060273085611,0.124512062140046,0.201474684039517,0.083085319883444,0.124512062140046,0.202911792901808,0.910003762742107,0.0499710199106951,0.704104952141253,0.593564101020587,0.608754907280354,0.32388669191209,0.545512261821284,0.0266832266851396,1,6,TRUE
"4","1_388_4",0,0.0110903991885924,0.124490859831241,0.201353845781771,0.083031228914535,0.124490859831241,0.195250346822275,0.910003762742107,0.0499710199106951,0.668819594251532,0.504368729190447,0.608754907280354,0.33310921123722,0.62899616165368,0.0266832266851396,1,6,FALSE
"5","1_396_7",0,0.00323440573748826,0.124336031417428,0.201461261986698,0.0829773679194759,0.124336031417428,0.12189302015268,0.933207526518274,0.0436073170009328,0.717254279393981,0.684683724432376,0.41377754020571,0.294399181891198,0.438815760449292,0.0224203193759149,5,4,FALSE
"6","1_399_3",0,0.0211812193161737,0.123306843469084,0.196621004666821,0.0825069533269731,0.123306843469084,0.114976116329721,0.932163494962437,0.0390434542011479,0.998045089438981,0.612895793377879,0.450086822195387,0.345065455393742,0.520078236313995,0.0139551680984329,5,4,FALSE
"7","1_420_3",0,0.003778090522029,0.124763410388888,0.207512426804602,0.0832636853198638,0.124763410388888,0.141915630027251,0.934913039429277,0.0582346272845493,0.357764257551263,0.658705071073789,0.558598247887427,0.277949799296208,0.475642166727329,0.022439064405687,8,5,FALSE
"8","1_426_1",0,0.139119715506039,0.122025238464075,0.173756180384077,0.0809600531284888,0.122025238464075,0.0530841277786557,0.892335124715439,0.0809399384463337,0.835810240285093,0.661204772599825,0.634467815656724,0.305559214065116,0.562633959836911,0.000120031566324801,1,6,FALSE
"9","1_426_5",0,0.0154096704431487,0.123509350193921,0.193753755839647,0.0826868325870941,0.123509350193921,0.13382642505071,0.94496321043039,0,0.955892618297389,0.601573999866538,0.586309880029377,0.268336533456094,0.513384424939604,0.00482501324329478,5,4,TRUE
"10","1_429_3",0,0.0132185510108902,0.123346631825143,0.198662939986519,0.0825512948435733,0.123346631825143,0.0873781998381831,0.944581444241796,0.0233050663168183,0.922428867877614,0.572736942503299,0.429620864780645,0.343407642469737,0.500710886698916,0.0084806244264353,5,4,FALSE
"11","2_304_2",0,0.00182549422025333,0.127431066640158,0.240680203858688,0.0846318458656948,0.127431066640158,0.0976167688650229,0.987254859267189,0.0947522242378143,0,0.927053613089132,0.764471761229104,0.0627708910863665,0.775403506889329,0.0287670290358282,8,5,FALSE
"12","2_319_4",0,0.247960310397195,0.1218347631797,0.163640051865259,0.0809780326569005,0.1218347631797,0.00232443517963393,0.824829658679111,0.171596014894115,0.2239918283263,0.219002691252083,0.954297926117525,0.197877175950679,0.573276039312484,0.0154039157036579,7,12,FALSE
"13","2_347_6",0,0.404191250145588,0.121867424804649,0.162385224228487,0.0809535055462981,0.121867424804649,0.0470375286059581,0.831110558518592,0.162082022226157,0.197166291879837,0,0.965980739939464,0.242128713563258,0.946598622410841,0.0150985239848221,3,20,FALSE
"14","2_355_4",0,0.0334058333941193,0.122976932954753,0.184651484131958,0.0810142130935074,0.122976932954753,0.187875109423813,0.996489596632288,0.251207981077663,0.201720286878643,0.411538665046781,0.977024221248433,0.309972585764157,0.83345744101297,0.0381985350502633,3,20,FALSE
"15","2_363_7",0,0.00482372474568001,0.126051601089103,0.206552789327974,0.082641533429587,0.126051601089103,0.165740623758159,0.980883695353237,0.201458046821975,0.219748078435636,0.786969086001161,0.660016543931374,0.0788844937675733,0.506003293383533,0.0589981248950613,8,5,FALSE
"16","2_368_3",0,0.0116571616172078,0.124767686031506,0.189827791192626,0.0809994982318131,0.124767686031506,0.187875109423813,0.996489596632288,0.250316136690947,0.201720286878643,0.411538665046781,0.891772974700798,0.309972585764157,0.83345744101297,0.0634395208691033,3,20,FALSE
"17","2_368_6",0,0.00613561185963541,0.12508170320481,0.201508297247695,0.0823030743132518,0.12508170320481,0.00807645356435894,0.966829653027995,0.185721321096709,0.161263004588259,0.634322778253111,0.688603646928771,0.0829666029939188,0.510805193266589,0.0536928337894725,8,5,TRUE
"18","2_370_1",0,0.0584798916674862,0.122217776848407,0.174879334410215,0.0807936491330881,0.122217776848407,0.00610198368895308,0.994862262524555,0.175562637002486,0.222877703058114,0.434059143431996,0.914883267252332,0.237421341678537,0.349348133741867,0.0237787893162374,2,16,FALSE
"19","2_370_5",0,0.016974538780627,0.12285530695614,0.188688694509032,0.0815303661766379,0.12285530695614,0.137114570219033,0.975910721592714,0.123743729633772,0.449798758028739,0.372532734945038,0.978658038117303,0.351265120453976,0.897260578280979,0.028494892773721,3,20,FALSE
"20","2_374_3",0,0.057785444918931,0.122220362895686,0.175114155015014,0.0807953083557346,0.122220362895686,0.00610198368895308,0.994862262524555,0.175562637002486,0.222877703058114,0.442961271968394,0.914883267252332,0.237421341678537,0.349348133741867,0.0237787893162374,2,16,FALSE
"21","2_374_4",0,0.063244141030213,0.122251706026812,0.175837801597507,0.0808165837838858,0.122251706026812,0.0179508148519176,0.979709948974946,0.175123627808451,0.26616333852831,0.423709298414511,0.925947230130916,0.256761247031691,0.411311478739012,0.0247355511605828,2,16,FALSE
