"","x.1._alphas","x.1._gammas","x.1._thetas","x.2._alphas","x.2._gammas","x.2._thetas","x.3._alphas","x.3._gammas","x.3._thetas","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","pos","Elapsed","ElapsedAccum","solID","trial","iterNG","iterPar","iterations","coef0","mape.qt10","robynPareto","error_score","cluster","top_sol"
"1",6.444121698195,0.187879391205,0.111508070769,5.598617520275,0.717402683818,0.872358633294,7.620629968089,0.0867638705288,0.229367099875,0.74641148325,0.772790201529162,0.724416457864399,0.460637900420924,0.0827192475976651,0.124767444695663,0.202057828954644,0.124767444695663,0.0106480637984386,0,1758.44024627945,0.002351488098,717363.847276706,1e-04,0,0.0600409507751465,218.410560846329,"1_376_5",1,376,5,2630,FALSE,TRUE,3,0.0422198412760701,1,FALSE
"2",7.103959650294,0.208673984173,0.139459458473,5.46184231627,0.711659809832,0.866668994747,7.016206292383,0.0731193332613,0.20413006719,0.74641148325,0.771048978163976,0.725839742497723,0.463184730422333,0.0830356023305403,0.124444839321221,0.20158021302263,0.124444839321221,0.00841433894428572,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,0,0.0680108070373535,220.019585847855,"1_379_7",1,379,7,2653,FALSE,TRUE,2,0.041965423082756,1,FALSE
"3",7.103959650294,0.208673984173,0.149508442154,5.209479078174,0.711659809832,0.866668994747,7.016206292383,0.0731193332613,0.20413006719,0.74641148325,0.770774727313233,0.725543469817454,0.463746638165156,0.083085319883444,0.124512062140046,0.201474684039517,0.124512062140046,0.00269060273085611,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,0,0.0694210529327393,222.120533943176,"1_384_2",1,384,2,2683,FALSE,TRUE,1,0.0418894693964752,1,TRUE
"4",6.88690965182,0.212528134958,0.144252901997,4.478393679662,0.743100070071,0.866668994747,7.016206292383,0.0731193332613,0.20413006719,0.74641148325,0.77107309484806,0.725636932515894,0.464389701483735,0.083031228914535,0.124490859831241,0.201353845781771,0.124490859831241,0.0110903991885924,0,1828.48124798125,0.002449134511,717363.847276706,1e-04,0,0.0584239959716797,224.211328983307,"1_388_4",1,388,4,2713,FALSE,TRUE,3,0.0418778178168444,1,FALSE
"5",7.184844800136,0.196350962026,0.0939318043713,5.956336508413,0.671477621692,0.87515593658,6.0277895795,0.0696566253646,0.200701167394,0.74641148325,0.771370000767899,0.726318955004347,0.463818085168355,0.0829773679194759,0.124336031417428,0.201461261986698,0.124336031417428,0.00323440573748826,0,1839.9439216481,0.002465114993,717363.847276706,1e-04,0,0.0577430725097656,228.312710046768,"1_396_7",1,396,7,2772,FALSE,TRUE,1,0.0418835513207726,5,FALSE
"6",8.912066756684,0.217524727123,0.0891869996143,5.367930326495,0.702081287716,0.874774074604,6.211855564644,0.0627804856672,0.198242060103,0.74641148325,0.773954947177253,0.730830977392165,0.489272923496971,0.0825069533269731,0.123306843469084,0.196621004666821,0.123306843469084,0.0211812193161737,0,1742.94063539749,0.002329879592,717363.847276706,1e-04,0,0.0591449737548828,229.569305896759,"1_399_3",1,399,3,2789,FALSE,TRUE,4,0.0397202313260528,5,FALSE
"7",4.973522218791,0.189476658096,0.107666761082,5.743403777109,0.685346544914,0.875779740072,6.761942522438,0.0696718517249,0.208582676314,0.74641148325,0.769789481009233,0.724434279349471,0.431124434946848,0.0832636853198638,0.124763410388888,0.207512426804602,0.124763410388888,0.003778090522029,0,1943.65740530149,0.002609705296,717363.847276706,1e-04,0,0.0600531101226807,241.110875844955,"1_420_3",1,420,3,2936,FALSE,TRUE,2,0.0448661166182534,8,FALSE
"8",7.914115315428,0.201014812027,0.0467308068995,5.763892455488,0.718107887155,0.860206564572,7.146555105465,0.0515423720873,0.220816785592,0.74641148325,0.782351602194117,0.736397183145448,0.601150012040396,0.0809600531284888,0.122025238464075,0.173756180384077,0.122025238464075,0.139119715506039,0,1400.18058174776,0.001852026778,717363.847276706,1e-04,0,0.0605831146240234,244.066861867905,"1_426_1",1,426,1,2976,FALSE,TRUE,4,0.0410491872468774,1,FALSE
"9",8.652775244733,0.185459211802,0.10211779015,5.275131812948,0.699560380427,0.879455661682,6.90242364987,0.0553641716304,0.177204608474,0.74641148325,0.772968239051947,0.729946139287101,0.504059790804485,0.0826868325870941,0.123509350193921,0.193753755839647,0.123509350193921,0.0154096704431487,0,1689.73536109033,0.002255704408,717363.847276706,1e-04,0,0.0605649948120117,244.350954055786,"1_426_5",1,426,5,2980,FALSE,TRUE,4,0.0381985664681945,5,TRUE
"10",8.446930457775,0.216831916324,0.070255592036,5.038770316362,0.694787491987,0.87931602798,6.108105603008,0.0583335802506,0.18976187871,0.74641148325,0.773711916173805,0.730657239738758,0.478609903658019,0.0825512948435733,0.123346631825143,0.198662939986519,0.123346631825143,0.0132185510108902,0,1794.2074973523,0.002401352373,717363.847276706,1e-04,0,0.0706980228424072,245.760378837585,"1_429_3",1,429,3,2999,FALSE,TRUE,3,0.0405789963652703,5,FALSE
